1 1.85e-07
2 1.24e-07
3 1.41e-07
4 1.65e-07
5 1.97e-07
6 2.62e-07
7 3.51e-07
8 4.82e-07
9 6.19e-07
10 8.83e-07
11 1.089e-06
12 1.866e-06
13 2.19e-06
14 2.953e-06
15 4.731e-06
16 7.106e-06
17 1.0989e-05
18 2.231e-05
19 2.763e-05
20 4.3969e-05
21 7.0531e-05
22 0.000113576
23 0.000183818
24 0.000296201
25 0.000479666
26 0.000777189
27 0.0012575
28 0.00202237
29 0.00328458
30 0.00534269
31 0.00865656
32 0.013885
33 0.0223073
34 0.0360744
35 0.0579304
36 0.0916549
37 0.147802
38 0.238885
39 0.38677
40 0.622328
41 1.0192
42 1.64524
43 2.62217
44 4.26923
45 6.87527
