10000  0.269548
11000  0.348574
12000  0.420979
13000  0.49075
14000  0.570376
15000  0.674977
16000  0.765869
17000  0.862801
18000  0.971849
19000  1.10977
20000  1.24109
21000  1.3536
22000  1.55134
23000  1.6623
24000  1.81641
25000  1.94444
26000  2.12296
27000  2.28983
28000  2.43679
29000  2.69136
30000  2.87626
31000  3.05843
32000  3.20674
33000  3.39123
34000  3.71388
35000  3.82348
36000  4.12991
37000  4.41693
38000  4.60557
39000  4.80445
40000  5.11063
41000  5.42775
42000  5.58116
43000  5.85309
44000  6.12776
45000  6.46516
46000  6.70102
47000  7.1793
48000  7.3393
49000  7.68404
50000  8.13516
51000  8.30166
52000  8.73813
53000  8.96996
54000  9.46206
55000  9.945
56000  10.3127
57000  10.9175
58000  11.0742
59000  11.4133
60000  11.7937
61000  11.9656
62000  12.6907
63000  13.0324
64000  13.2887
65000  13.9234
66000  14.1297
67000  14.8113
68000  15.1033
69000  15.6628
70000  16.2721
71000  16.3791
72000  16.8
73000  17.6045
74000  17.7807
75000  18.2995
76000  19.1208
77000  19.7363
78000  20.0294
79000  20.2964
80000  20.9806
81000  21.6361
82000  22.018
83000  22.9745
84000  23.305
85000  23.535
86000  24.1645
87000  24.6861
88000  25.2592
89000  26.2825
90000  26.4248
91000  27.4626
92000  28.1838
93000  28.8751
94000  29.2054
95000  29.7674
96000  30.7299
97000  31.0569
98000  31.4803
99000  32.4148
100000  33.0374
