1  4.27654e-007
2  4.27654e-007
3  4.27654e-007
4  0
5  0
6  4.27654e-007
7  4.27654e-007
8  8.55308e-007
9  1.28296e-006
10  2.13827e-006
11  2.56593e-006
12  2.99358e-006
13  4.7042e-006
14  6.84247e-006
15  1.06914e-005
16  1.62509e-005
17  4.19101e-005
18  6.71417e-005
19  0.000106058
20  0.000169779
21  0.000157377
22  0.000254454
23  0.000282679
24  0.000489664
25  0.000550819
26  0.000934424
27  0.00203563
28  0.00303934
29  0.00552529
30  0.00695366
31  0.00930747
32  0.0148905
33  0.023781
34  0.0382999
35  0.0613987
36  0.101042
37  0.165437
38  0.263426
39  0.435445
40  0.737823
41  1.13807
42  1.81356
43  2.97219
44  4.80474
45  7.8335
46  12.6077
47  20.0192
